Location,TSUM_0,TSUM_1,TSUM_2,TSUM_3,TSUM_4,TSUM_5,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd,OrganGrowthRespiration_0,OrganGrowthRespiration_1,OrganGrowthRespiration_2,OrganGrowthRespiration_3,OrganMaintenanceRespiration_0,OrganMaintenanceRespiration_1,OrganMaintenanceRespiration_2,OrganMaintenanceRespiration_3,MaxAssimilationRate
101_133,180,369.0965836,493.861626,174.3655933,406.853051,24.21744353,803.6948145,1037.323803,1,1444.176854,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_134,180,346.2425672,463.2823083,188.3448351,439.4712818,26.1590049,753.9309985,997.8697106,1,1437.340992,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_135,172.675791,331.3508424,443.356761,174.786487,407.8351363,24.27590099,721.5047921,949.4940904,1,1357.329227,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_136,166.0302249,318.5985398,426.2938209,125.9491592,293.8813714,17.49293879,693.7371022,870.8415199,1,1164.722891,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_137,159.1629249,305.420748,408.6615642,217.4871546,507.4700273,30.20654927,665.0429245,931.5694668,1,1439.039494,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_138,173.3744021,332.6914203,445.150492,157.3124273,367.0623303,21.84894825,724.4238533,935.1543396,1,1302.21667,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_139,175.3048457,336.3957851,450.1070365,194.5282833,453.8993276,27.01781715,732.4899773,981.0311049,1,1434.930433,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_140,180,364.1989408,487.3084419,206.0686236,480.8267883,28.62064219,793.0303696,1057.576006,1,1538.402795,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_141,180,354.2250886,473.9631467,196.9549329,459.56151,27.35485181,771.3126577,1025.143168,1,1484.704678,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_142,180,347.7557331,465.3069668,245.2277393,572.1980583,34.05940826,757.2258638,1058.290439,1,1630.488497,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_143,180,355.7995966,476.0698828,198.7394614,463.7254099,27.60270299,774.7410935,1030.608941,1,1494.334351,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_144,180,362.4069136,484.9106591,169.2683464,394.9594749,23.50949257,789.1282936,1016.585919,1,1411.545394,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_145,175.4048932,336.5877683,450.3639153,195.9622447,457.2452376,27.21697845,732.9080137,982.9139283,1,1440.159166,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_146,173.5905092,333.1061124,445.7053617,189.4234858,441.9881335,26.30881749,725.3268307,968.2349599,1,1410.223093,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_147,174.1797669,334.2368501,447.2183206,201.0959865,469.2239684,27.92999815,727.7889722,982.5511572,1,1451.775126,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_85,180,409.4601829,547.8692588,148.8082705,347.2192978,20.66781536,891.5851306,1106.137712,1,1453.35701,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
