Location, TSUM1, TSUM2, TSUM3, TSUM4, TSUM5, TSUM6,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd
102_128,145.5273716,279.2552266,373.6513596,162.9644726,380.2504359,22.63395454,608.0684231,815.8710588,1,1196.121495
102_129,180,373.6033842,499.8918521,167.8206064,391.5814149,23.30841758,813.508214,1041.315843,1,1432.897258
102_130,180,369.6070291,494.5446165,236.9120296,552.7947356,32.90444858,804.8062916,1101.063675,1,1653.858411
102_131,180,373.0702109,499.1784513,190.8356851,445.2832651,26.50495628,812.3472481,1063.084347,1,1508.367612
102_132,180,406.1584185,543.451405,184.3442766,430.1366453,25.60337177,884.3956549,1133.9541,1,1564.090745
102_133,176.7306203,339.1317311,453.7678092,196.4673817,458.4238905,27.28713636,738.4474031,989.3669219,1,1447.790812
102_134,180,356.2467041,476.6681252,219.2671381,511.6233222,30.45376921,775.7146542,1052.181967,1,1563.80529
102_135,174.6491149,335.1374908,448.4234032,203.5302393,474.9038916,28.26808881,729.7500857,987.0911333,1,1461.995025
102_136,167.3401294,321.1121404,429.6570893,172.0505412,401.4512628,23.89590852,699.210379,922.819771,1,1324.271034
102_137,159.6278279,306.312859,409.8552339,167.1095551,389.9222952,23.20966045,666.9854648,883.277648,1,1273.199943
102_138,180,347.4290018,464.8697912,171.9398135,401.1928981,23.88052967,756.5144181,984.2386065,1,1385.431505
102_139,172.6678614,331.335626,443.3364011,102.5430023,239.2670053,14.24208366,721.471659,877.2150294,1,1116.482035
102_140,169.4713735,325.201825,435.1292026,218.8818996,510.7244322,30.40026385,708.1155233,979.2129272,1,1489.937359
102_141,179.3526562,344.1632053,460.5000634,195.6061706,456.4143979,27.16752371,749.4032611,1000.269439,1,1456.683837
102_142,180,357.813229,478.7641797,195.4710024,456.0990056,27.14875036,779.1257072,1032.048411,1,1488.147417
102_143,180,372.7595758,498.7628128,237.3351846,553.7820973,32.96322011,811.6708511,1108.857573,1,1662.63967
102_144,180,361.5496008,483.7635504,173.1071453,403.9166724,24.04265909,787.2615251,1018.420296,1,1422.336969
102_145,168.5595459,323.4521017,432.7880234,205.1673991,478.7239313,28.49547213,704.3055623,961.4075243,1,1440.131456
102_146,180,374.597979,501.222648,183.6289555,428.4675628,25.50402162,815.6739092,1059.449582,1,1487.917145
102_147,152.1739202,292.0094146,390.7168224,183.5705126,428.331196,25.49590455,635.8402184,866.2967497,1,1294.627946
102_148,175.3207468,336.426298,450.1478636,221.7306695,517.371562,30.79592634,732.5564179,1008.304831,1,1525.676393
102_65,177.6640828,340.9229699,456.1645373,191.0403861,445.7609007,26.53338697,742.3477627,988.1278933,1,1433.888794
102_66,180,358.1962118,479.2766215,128.3123685,299.3955265,17.82116231,779.9596387,965.7852018,1,1265.180728
102_67,180,351.8078769,470.7288494,147.4110574,343.9591339,20.47375799,766.0492643,969.9477836,1,1313.906918
102_70,176.785923,339.2378524,453.9098025,139.8700657,326.3634865,19.42639802,738.6784786,933.0177205,1,1259.381207
102_71,180,345.9403426,462.8779232,120.9465712,282.2086661,16.7981349,753.272915,929.7648369,1,1211.973503
102_77,180,351.3165969,470.0715029,133.4135122,311.298195,18.52965448,764.9795194,954.8016119,1,1266.099807
102_78,172.6002108,331.2058101,443.1627037,181.1108157,422.5919032,25.15427998,721.1889894,955.4793295,1,1378.071233
102_86,180,373.8800399,500.2620252,131.1826524,306.0928555,18.21981284,814.1106221,1005.324718,1,1311.417573
102_87,180,379.71851,508.0740628,177.8983494,415.0961486,24.70810411,826.8236853,1065.690922,1,1480.787071
102_88,180,387.2083992,518.0957455,185.8166045,433.5720772,25.80786176,843.1326553,1091.120749,1,1524.692826
102_89,180,378.1318852,505.951114,175.7469205,410.0761477,24.40929453,823.3688656,1059.82992,1,1469.906067
102_90,180,404.8730628,541.731563,176.5413987,411.9299303,24.51963873,881.5968382,1123.146025,1,1535.075955
102_91,180,393.6411469,526.7029431,197.3794009,460.5519354,27.41380571,857.1397369,1117.723491,1,1578.275426
102_92,180,385.8122708,516.2276863,198.8126656,463.8962196,27.61287024,840.0926348,1100.852623,1,1564.748842
102_93,180,391.5292067,523.8771075,199.582387,465.6922363,27.71977599,852.5410613,1114.988701,1,1580.680937
102_94,180,409.7744512,548.2897587,207.8846216,485.0641169,28.87286413,892.2694388,1165.948831,1,1651.012948
102_95,180,397.7795156,532.2401969,222.072359,518.1688376,30.84338322,866.1508889,1152.092072,1,1670.260909
102_96,180,416.5770338,557.3918058,194.8563628,454.6648466,27.06338375,907.0818229,1168.825202,1,1623.490049
102_97,180,392.0064857,524.5157203,209.1300658,487.9701534,29.04584249,853.5803195,1125.652272,1,1613.622425
102_98,180,397.6829359,532.1109706,190.9243141,445.4900661,26.51726587,865.9405901,1120.718221,1,1566.208287
102_99,180,388.779776,520.1982919,216.4483525,505.0461558,30.0622712,846.5542729,1125.42642,1,1630.472576
103_100,180,403.6865013,540.1439102,207.3690881,483.8612055,28.80126226,879.0131423,1151.1995,1,1635.060705
103_101,180,590.8688513,790.5991673,159.0345481,371.0806121,22.08813169,1286.596119,1540.502567,1,1911.583179
