Location, TSUM1, TSUM2, TSUM3, TSUM4, TSUM5, TSUM6, TSUM7,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,CriticalTemperatureHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd
102_105,56.25026024,234.9275572,157.1698447,206.8024271,195.6687232,391.3374464,24.4585904,574.0835377,794.5685521,35,1,1185.905999
102_106,58.63953742,244.906303,163.8457662,215.5865343,191.0745669,382.1491338,23.88432086,598.4682195,815.4131705,35,1,1197.562304
102_107,64.87284495,270.9395286,181.2623608,238.5031061,216.5564437,433.1128873,27.06955546,662.0846228,907.2614392,35,1,1340.374327
102_108,61.37725438,256.3402974,171.4952695,225.6516702,183.2136642,366.4273285,22.90170803,626.4090367,836.7009014,35,1,1203.12823
102_109,59.91126762,250.2176468,167.39913,220.262013,161.0681866,322.1363733,20.13352333,611.4473483,798.9469765,35,1,1121.08335
102_110,64.14711111,267.9085225,179.2345751,235.834967,180.9026261,361.8052522,22.61282827,654.6778686,863.8806907,35,1,1225.685943
102_111,63.46898468,265.0763475,177.3398101,233.3418551,187.5612605,375.1225211,23.44515757,647.7569901,863.3192732,35,1,1238.441794
102_112,64.04138507,267.4669609,178.9391641,235.4462683,207.2011384,414.4022768,25.9001423,653.5988411,889.0535317,35,1,1303.455808
102_113,62.68622344,261.8071682,175.1526831,230.4640565,226.0708032,452.1416064,28.2588504,639.768221,893.494711,35,1,1345.636317
102_114,62.76598672,262.1402972,175.375551,230.7573038,178.9565613,357.9131226,22.36957016,640.5822755,847.2297133,35,1,1205.142836
102_115,64.76855257,270.5039545,180.9709556,238.1196783,175.1227213,350.2454425,21.89034016,661.0202271,864.7173097,35,1,1214.962752
102_116,63.60732141,265.6541067,177.7263391,233.850446,223.3330656,446.6661311,27.91663319,649.1688384,900.5639575,35,1,1347.230089
102_117,66.4813541,277.6574197,185.7567246,244.4167427,154.1429244,308.2858489,19.26786555,678.5008779,861.9738114,35,1,1170.25966
102_118,59.69337648,249.3076309,166.7903166,219.4609427,205.7417044,411.4834087,25.71771304,609.223577,841.3005945,35,1,1252.784003
102_119,64.78835943,270.5866773,181.0262983,238.1924976,191.8700391,383.7400782,23.98375489,661.2223735,881.6755123,35,1,1265.415591
102_120,60.42191099,252.3503338,168.8259277,222.1393783,183.7615885,367.5231771,22.97019857,616.6589145,827.0772284,35,1,1194.600405
102_121,63.01811165,263.1932895,176.0800178,231.6842337,226.7803125,453.560625,28.34753907,643.155433,897.7378535,35,1,1351.298479
102_122,61.00476461,254.7846049,170.4544893,224.2822225,219.6571098,439.3142195,27.45713872,622.60745,869.1784265,35,1,1308.492646
102_123,59.09408205,246.8046953,165.1158174,217.2576543,188.4786166,376.9572333,23.55982708,603.1072486,817.6567837,35,1,1194.614017
102_124,65.10176092,271.8955894,181.9019789,239.3447089,175.0877727,350.1755453,21.88597158,664.4209122,868.2300499,35,1,1218.405595
102_125,63.69445591,266.0180214,177.9698032,234.1707935,156.2521645,312.5043291,19.53152057,650.0581229,834.4107827,35,1,1146.915112
102_126,59.16231897,247.0896848,165.3064794,217.5085253,140.4358929,280.8717859,17.55448662,603.8036665,770.3405825,35,1,1051.212368
102_127,61.11755107,255.2556542,170.7696279,224.6968786,158.1837395,316.367479,19.77296744,623.7585353,808.9059002,35,1,1125.273379
102_128,63.6402693,265.7917126,177.8183994,233.971578,206.0542125,412.108425,25.75677656,649.5051007,883.6359025,35,1,1295.744328
102_129,65.08515263,271.8262254,181.8555734,239.2836491,186.0192569,372.0385139,23.25240712,664.25141,878.9847048,35,1,1251.023219
102_130,65.36134649,272.9797409,182.6272916,240.2990677,202.0660703,404.1321406,25.25825879,667.0702121,897.9721705,35,1,1302.104311
102_131,66.96624276,279.682543,187.1115606,246.1994216,252.5933715,505.1867431,31.57417144,683.4495945,965.5868967,35,1,1470.77364
102_132,67.47506283,281.807615,188.5332637,248.0700836,219.7970571,439.5941141,27.47463213,688.6425522,938.2080193,35,1,1377.802133
102_133,67.2930487,281.0474384,188.0246948,247.400914,158.0071243,316.0142487,19.75089054,686.7849375,874.4801715,35,1,1190.49442
102_134,61.8241042,258.2065525,172.7438205,227.2945004,212.866848,425.7336959,26.608356,630.9695334,871.1117214,35,1,1296.845417
102_135,57.38341073,239.6601269,160.3360005,210.9684215,160.8498209,321.6996419,20.10622762,585.6483384,771.8143699,35,1,1093.514012
102_136,62.25286894,259.9972758,173.9418396,228.8708414,180.6799531,361.3599062,22.58499414,635.3454559,843.48991,35,1,1204.849816
102_137,61.1012535,255.1875878,170.7240906,224.6369611,155.2181024,310.4362049,19.4022628,623.5922042,805.766742,35,1,1116.202947
102_138,61.23437244,255.7435552,171.0960406,225.126369,226.5832014,453.1664028,28.32290018,624.9508004,878.5491661,35,1,1331.715569
102_139,61.30963811,256.0579,171.3063417,225.403081,215.8924212,431.7848424,26.98655265,625.718953,868.6597439,35,1,1300.444586
102_140,64.67496657,270.1130953,180.7094653,237.7756121,217.8379638,435.6759277,27.22974548,660.0650993,906.4361366,35,1,1342.112064
102_141,66.54124397,277.907548,185.9240639,244.636926,239.8180746,479.6361491,29.97725932,679.1121069,948.2866125,35,1,1427.922762
102_142,67.87570151,283.4808707,189.6526953,249.5430199,195.0395807,390.0791613,24.37994758,692.7314236,917.7161666,35,1,1307.795328
102_143,60.51479088,252.738244,169.085445,222.4808485,240.4407757,480.8815515,30.05509697,617.6068357,884.7453133,35,1,1365.626865
102_144,65.14024282,272.0563079,182.0095019,239.4861865,229.3045308,458.6090616,28.66306635,664.8136539,922.8565271,35,1,1381.465589
102_145,62.94143945,262.8730703,175.8657866,231.4023506,254.3816304,508.7632608,31.7977038,642.3729255,924.522838,35,1,1433.286099
102_146,65.89522224,275.2094573,184.1190032,242.2618461,200.8326721,401.6653442,25.10408401,672.5188851,902.4229788,35,1,1304.088323
102_147,63.75156246,266.2565253,178.1293656,234.380744,236.5362249,473.0724499,29.56702812,650.6409457,915.3028599,35,1,1388.37531
102_148,66.86285615,279.2507518,186.8226862,245.8193237,223.3147074,446.6294149,27.91433843,682.3944429,935.2074692,35,1,1381.836884
102_65,53.18070947,222.1076687,148.5931588,195.517314,161.9302819,323.8605638,20.24128524,542.7560638,728.1484234,35,1,1052.008987
102_66,55.47162579,231.6756133,154.9942485,203.9398004,154.7085883,309.4171767,19.33857354,566.1368862,745.3182506,35,1,1054.735427
102_67,59.98927584,250.5434459,167.6170942,220.5488079,180.8682463,361.7364926,22.60853079,612.243491,819.5775943,35,1,1181.314087
102_70,56.87632598,237.5423024,158.9191461,209.1041394,164.4013857,328.8027713,20.55017321,580.473091,769.9669734,35,1,1098.769745
102_71,55.09168523,230.0888027,153.9326498,202.5429601,161.2092629,322.4185258,20.15115786,562.2592575,747.7736756,35,1,1070.192201
102_77,57.7325128,241.1181414,161.3114327,212.251885,173.0481223,346.0962447,21.63101529,589.211233,787.7295815,35,1,1133.825826
102_78,57.22554111,239.0007891,159.8948942,210.3880185,158.9287821,317.8575641,19.86609776,584.0371396,768.2124839,35,1,1086.070048
102_86,64.17004243,268.0042945,179.2986479,235.9192733,182.5712201,365.1424402,22.82140251,654.911903,865.7934358,35,1,1230.935876
102_87,65.32700895,272.8363312,182.5313485,240.1728267,196.3220353,392.6440705,24.54025441,666.7197671,891.8625416,35,1,1284.506612
102_88,69.67041093,290.9764218,194.6673246,256.1412163,202.4750416,404.9500832,25.3093802,711.0480167,944.2600042,35,1,1349.210087
102_89,71.44870154,298.4034002,199.6360777,262.6790494,186.3453168,372.6906335,23.2931646,729.1970414,947.0638441,35,1,1319.754478
102_90,72.76251273,303.890494,203.3070208,267.5092376,193.6841906,387.3683811,24.21052382,742.6056438,968.3909429,35,1,1355.759324
102_91,71.20251768,297.3752205,198.9482111,261.7739617,207.0641473,414.1282945,25.88301841,726.6845179,965.1615406,35,1,1379.289835
102_92,74.50030423,311.1483291,208.1626147,273.898177,190.4355431,380.8710863,23.80444289,760.3413394,983.6446638,35,1,1364.51575
102_93,75.50259841,315.3343812,210.9631425,277.583082,237.9187866,475.8375732,29.73984833,770.5706359,1041.799392,35,1,1517.636966
102_94,74.28412613,310.2454676,207.5585876,273.1034045,184.8706074,369.7412148,23.10882593,758.1350512,975.7780671,35,1,1345.519282
102_95,73.716575,307.875107,205.972783,271.0168195,193.0374988,386.0749975,24.12968735,752.3426911,977.9022082,35,1,1363.977206
102_96,79.90714261,333.7298305,223.2699572,293.7762592,199.2863065,398.5726131,24.91078832,815.5228958,1050.062353,35,1,1448.634966
102_97,73.9357672,308.7905568,206.5852318,271.8226732,199.1524832,398.3049663,24.8940604,754.579741,986.3509449,35,1,1384.655911
102_98,76.47440801,319.3931154,213.6784929,281.1559114,207.159962,414.319924,25.89499525,780.4888103,1021.387482,35,1,1435.707406
102_99,74.20975893,309.9348752,207.3507969,272.8299957,141.7566264,283.5132528,17.7195783,757.3760683,931.8722942,35,1,1215.385547
103_100,78.81309549,329.1605749,220.2130608,289.7540272,167.1143846,334.2287692,20.88929808,804.3571796,1006.242047,35,1,1340.470817
103_101,63.97865444,267.2049682,178.7638873,235.215641,219.4458835,438.891767,27.43073544,652.9586196,900.63038,35,1,1339.522147
103_102,58.33063152,243.6161667,162.9826468,214.4508509,213.2577052,426.5154104,26.65721315,595.3155623,834.3073696,35,1,1260.82278
103_103,57.09008449,238.4350585,159.5164125,209.8900162,190.7455335,381.491067,23.84319169,582.6546853,798.5870207,35,1,1180.078088
103_104,59.27900235,247.5770095,165.6325065,217.9375083,141.6410706,283.2821413,17.70513383,604.9945233,772.788095,35,1,1056.070236
